"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",450.2445364762,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",550.999615085,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",598.1231316804,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",652.9376529256,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",658.3135505281,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",602.920525827,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",595.7774812381,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",574.2290798966,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",582.5421367403,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",597.3322869511,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",620.5912958137,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",621.0489043012,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",697.7635397908,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",555.1492310992,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",454.4158122568,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",381.4092968893,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",394.1640288972,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",462.1714928679,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",542.8358086922,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",649.1181670039,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",824.0281923348,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1074.729287967,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1205.7993547038,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1753.2073024328,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2087.8638613569,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2307.3464911718,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2461.979474036,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2674.9628382103,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2803.1901802175,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2753.3795142759,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2190.6041156289,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1813.0853081366,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2041.3848072943,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1978.2805186076,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2258.5196411928,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2578.6668939422,"Nominal GDP Per Capita"
"country/UZB","UZ","Uzbekistan","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2849.5146107191,"Nominal GDP Per Capita"